Beautiful,Beautiful,Paul Glazby,541.51791,22050,13994,0.52249045051,0.350285512219,ARCCK7B1187B994F9D,-1,,-1,1a1d13b8-5676-40fb-807c-c4c7ed9d9833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0267267bd3ddfcf5fb2a8fa69fb768e7,0.0,0.0,0.0,9,0.072,-8.71,1,0.301,797645,0.0,SOYETRS12AB018A8F2,536.967,149.864,4,0.059,TRAJLJY12903CAF344,8826919,2001,5,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.651263842438,1.0,0.0,0.286402811261,2691,1752.551,57.00841,269.950751338,539.31871,0.28129,155.719306339,2691,726437.47185
Don't Look Back (Radio Edit),From The Ground Up,Antigone Rising,213.55057,22050,4628,0.583107636129,0.343963910714,ARZQ6SW1187B9AD3E2,40.14323,New Jersey,-74.72671,631505bf-6fce-4aa4-b8b6-8cbc2b30c4ff,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,8c32cfcda5da9a88aae5311eb274db2c,0.0,0.0,0.0,8,0.55,-5.098,1,0.603,110295,0.445454525493,SOMDNTQ12A8C13D5FD,208.219,123.944,4,0.757,TRBEOYQ128F42955C3,1140802,2005,4,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,0.415276470588,1.0,0.009,0.349965552976,680,282.388,0.016,0.371566176471,1.0,0.007,0.346657656651,680,252.665,0.055,0.299005882353,1.0,0.013,0.244090701489,680,203.324,0.191,0.439475,1.0,0.012,0.367442699765,680,298.843,0.028,0.215860294118,1.0,0.006,0.192163272061,680,146.785,0.043,0.277895588235,1.0,0.005,0.258803728684,680,188.969,0.036,0.173194117647,1.0,0.004,0.171726579773,680,117.772,0.234,0.272001470588,1.0,0.016,0.229533878694,680,184.961,1.0,0.404813235294,1.0,0.007,0.378288388435,680,275.273,0.19,0.222882352941,1.0,0.006,0.202497518461,680,151.56,0.092,0.364963235294,1.0,0.011,0.329299591113,680,248.175,0.07,0.199672058824,1.0,0.006,0.20093973295,680,135.777,0.059,0.415276470588,1.0,0.009,0.349965552976,680,282.388,0.016,0.371566176471,1.0,0.007,0.346657656651,680,252.665,0.055,0.299005882353,1.0,0.013,0.244090701489,680,203.324,0.191,0.439475,1.0,0.012,0.367442699765,680,298.843,0.028,0.215860294118,1.0,0.006,0.192163272061,680,146.785,0.043,0.277895588235,1.0,0.005,0.258803728684,680,188.969,0.036,0.173194117647,1.0,0.004,0.171726579773,680,117.772,0.234,0.272001470588,1.0,0.016,0.229533878694,680,184.961,1.0,0.404813235294,1.0,0.007,0.378288388435,680,275.273,0.19,0.222882352941,1.0,0.006,0.202497518461,680,151.56,0.092,0.364963235294,1.0,0.011,0.329299591113,680,248.175,0.07,0.199672058824,1.0,0.006,0.20093973295,680,135.777,,,,,,,,,,,,,,
Loverman,Let Love In,Nick Cave & The Bad Seeds,382.01424,22050,451,0.694021647907,0.479407675575,ARODBRG1187FB3FD99,-1,,-1,172e1f1a-504d-4488-b053-6344ba63e6d0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10506,0662de4e2e11b9fd824aa24f9f408d18,0.0,0.498,0.0,5,0.515,-7.971,0,0.363,8423,0.650767013398,SOOEXUJ12A6701E77F,373.656,137.589,4,0.0,TRAYPMR128E0785DD1,84986,1994,5,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.132266363119,0.47,0.0,0.130336610181,1757,232.392,118.73839,191.999963369,381.85097,0.64492,110.06796619,1757,337343.93564
Tsai Me Lemoni (2005 Digital Remaster),Back To The 70'S-The Very Best Of Dakis,Dakis,224.07791,22050,155912,0.336970427524,0.0,ARBKMHZ11F4C843491,-1,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56054,12b8953f0cc1c12fa2c3abceab6cc4b2,0.0,0.194,0.0,0,0.586,-5.554,0,0.548,206616,-1,SOVBBUZ12A8C137B2D,221.298,109.08,4,0.855,TRBBSSU128F4265E16,2241762,0,1,305,,,,,,,,,,,,,,,0.273,0.165069306931,0.521,0.0,0.123624952416,404,66.688,167.85012,111.028708837,221.50736,0.21813,64.0816735645,404,44855.59837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camiño De Santiago,Carlos Nunez En Concert,Carlos Nuñez,275.43465,22050,40744,0.53570252813,0.384986116578,ARCID1N1187FB51DA0,-1,,-1,3d9ba6f0-c4ed-450b-a150-37e2ebf13e77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28223,321434954bfe5555c5e18113a846e02e,0.0,0.0,0.0,0,0.584,-11.019,1,0.73,307974,0.304169503435,SOVENLZ12A8C13F7DE,275.435,143.969,4,0.0,TRAVZZV128F42AE511,3472510,2004,3,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162,0.363651724138,1.0,0.001,0.220561961145,870,316.377,-11.395,-14.9908045977,-5.792,-30.169,5.19489283117,870,-13042.0,0.07744,0.0743405632184,1.09619,0.00678,0.0719850909438,870,64.67629,-14.366,-19.6247114943,-9.092,-53.726,5.56549223366,870,-17073.499,198.9459,131.966863724,275.29868,0.0,78.6092308582,870,114811.17144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ina Your Rights,New Chapter,Aswad,280.94649,22050,240,0.619358945941,0.389107386526,ARP39OU1187FB4D543,-1,"West London, England",-1,617f2574-c2bd-4e39-9627-34fc9742a024,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3348,35c3eafbc719101c8bfb5646f0046c93,0.0,0.09,0.0,2,0.364,-8.777,0,0.355,291227,-1,SOEYPBL12A8C1357C7,269.357,167.312,1,0.0,TRAZASN128F427DB44,3270646,1981,5,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307,0.149291989664,0.633,0.0,0.171940182534,1548,231.104,14.93048,139.652746531,277.4963,0.18312,80.0884256358,1548,216182.45163
Night of the Hunter (Static Revenger Remix),Kings and Queens,30 Seconds To Mars,297.53424,22050,11565,0.909324833658,0.677087546712,ARRBF3M1187FB4D59F,-1,"Los Angeles, CA",-1,d8354b38-e942-4c89-ba93-29323432abc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5561,e0fc87e1114e2571e60aff5268c192ed,0.0,0.496,0.0,6,0.738,-5.157,1,0.625,646431,0.50726925148,SONWUQM12AB01821AB,283.527,122.924,4,0.747,TRALGYO128F934D18D,7161807,2009,5,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234,0.245788953009,0.9,0.0,0.199129436651,1213,298.142,76.62848,148.270028442,295.91938,0.04483,85.4599137455,1213,179851.5445
Mass Destruction,Live At Alexandra Palace,Faithless,259.86567,22050,25,0.813013088935,0.548533654534,ARXDQJB1187FB57154,51.50632,"London, England",-0.12714,23d9d74d-c95e-46a6-be26-a6075c49747a,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,7214f25ee2072d4ba124019234ccfa33,0.0,0.0,0.0,7,0.594,-5.509,1,0.584,307773,-1,SOTFUBR12A8C13E3EC,259.866,88.74,4,0.194,TRAYKVH128F42AC993,3465472,2004,4,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.911,0.526289855072,1.0,0.038,0.286410556861,966,508.396,0.654,0.467268115942,1.0,0.028,0.258048552492,966,451.381,0.474,0.462108695652,1.0,0.027,0.29055880264,966,446.397,0.198,0.395637681159,1.0,0.018,0.254829507386,966,382.186,0.563,0.561090062112,1.0,0.02,0.322114878567,966,542.013,0.366,0.358358178054,1.0,0.021,0.22695604793,966,346.174,0.342,0.39234679089,1.0,0.023,0.259942840558,966,379.007,0.367,0.421366459627,1.0,0.012,0.287335103982,966,407.04,0.283,0.391118012422,1.0,0.015,0.266074979988,966,377.82,0.449,0.467152173913,1.0,0.02,0.284808418101,966,451.269,0.491,0.406370600414,1.0,0.03,0.263245520893,966,392.554,1.0,0.512616977226,1.0,0.03,0.288650372525,966,495.188,0.911,0.526289855072,1.0,0.038,0.286410556861,966,508.396,0.654,0.467268115942,1.0,0.028,0.258048552492,966,451.381,0.474,0.462108695652,1.0,0.027,0.29055880264,966,446.397,0.198,0.395637681159,1.0,0.018,0.254829507386,966,382.186,0.563,0.561090062112,1.0,0.02,0.322114878567,966,542.013,0.366,0.358358178054,1.0,0.021,0.22695604793,966,346.174,0.342,0.39234679089,1.0,0.023,0.259942840558,966,379.007,0.367,0.421366459627,1.0,0.012,0.287335103982,966,407.04,0.283,0.391118012422,1.0,0.015,0.266074979988,966,377.82,0.449,0.467152173913,1.0,0.02,0.284808418101,966,451.269,0.491,0.406370600414,1.0,0.03,0.263245520893,966,392.554,1.0,0.512616977226,1.0,0.03,0.288650372525,966,495.188,,,,,,,,,,,,,,
Cremona (Instrumental),Martini Breaks,Vrse Murphy,240.5873,22050,351647,0.439151375441,0.299667427552,ARUBDNK11F50C4F28B,-1,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,8f810798815a8461b2d1664a8e4ada1f,0.0,0.316,0.0,11,0.013,-5.715,0,0.259,716926,-1,SOSFOAG12AB018C8A0,237.221,97.015,4,1.0,TRAJLSJ12903CC49A6,7951668,0,3,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605,0.791964646465,1.0,0.0,0.261429705991,792,627.236,-13.811,-9.62337878788,-1.652,-60.0,5.2265150392,792,-7621.716,0.08138,0.0448089520202,0.38923,0.0,0.0340041043726,792,35.48869,-19.537,-22.5781111111,-13.421,-60.0,7.39163743497,792,-17881.864,197.87873,120.104284886,237.77524,0.0,68.0740689942,792,95122.59363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonely No More,The Atlanta Years,Humble Pie,193.54077,22050,235338,0.63354599875,0.402495879987,ARPISA41187FB3DE42,51.77045,"Essex, England",0.64255,696989bc-c9a8-4ba8-a99b-b8015dba577f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64570,de6a03a8b3d381b7dc1cc8302cac055c,0.0,0.0,0.0,10,0.336,-13.339,1,0.139,614711,0.240004752332,SOSHOMP12A8C144BB1,183.339,120.563,1,0.0,TRAKPET128F92FD69F,6833747,0,4,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137,0.517559939302,1.0,0.023,0.282898611259,659,341.072,0.068,0.430051593323,1.0,0.017,0.281933854654,659,283.404,0.122,0.371669195751,1.0,0.02,0.243892939909,659,244.93,0.076,0.319207890744,1.0,0.013,0.217843202507,659,210.358,0.074,0.238886191199,1.0,0.011,0.174120257679,659,157.426,0.23,0.517335356601,1.0,0.04,0.283946443063,659,340.924,0.102,0.38059939302,1.0,0.017,0.236868903511,659,250.815,0.074,0.437286798179,1.0,0.008,0.281430544601,659,288.172,0.091,0.367867981791,1.0,0.013,0.255485284653,659,242.425,0.249,0.404746585736,1.0,0.045,0.233008081033,659,266.728,1.0,0.727194233687,1.0,0.047,0.283877715071,659,479.221,0.156,0.467506828528,1.0,0.037,0.286356057528,659,308.087,0.137,0.517559939302,1.0,0.023,0.282898611259,659,341.072,0.068,0.430051593323,1.0,0.017,0.281933854654,659,283.404,0.122,0.371669195751,1.0,0.02,0.243892939909,659,244.93,0.076,0.319207890744,1.0,0.013,0.217843202507,659,210.358,0.074,0.238886191199,1.0,0.011,0.174120257679,659,157.426,0.23,0.517335356601,1.0,0.04,0.283946443063,659,340.924,0.102,0.38059939302,1.0,0.017,0.236868903511,659,250.815,0.074,0.437286798179,1.0,0.008,0.281430544601,659,288.172,0.091,0.367867981791,1.0,0.013,0.255485284653,659,242.425,0.249,0.404746585736,1.0,0.045,0.233008081033,659,266.728,1.0,0.727194233687,1.0,0.047,0.283877715071,659,479.221,0.156,0.467506828528,1.0,0.037,0.286356057528,659,308.087,,,,,,,,,,,,,,
